road,start node,end node,AADT
5068,183900581,183900585,0.00
2428,183777037,7085806503,1.98
4286,8411584964,8411584963,1.43
3856,183895022,8459847518,52.56
1220,183937317,183937319,6.00
6851,183849535,183849539,0.06
11485,7127277898,7127277888,8.12
4219,183936836,183936833,1.32
11472,1871373338,1871373306,0.00
12477,183906668,183906664,0.01
9371,7059737696,7059737699,0.00
1441,7453103672,7453103670,0.00
4072,6948472708,183800946,0.12
12959,183947695,7148140384,0.13
11155,183864106,183831284,0.02
10884,183856130,183856451,12.55
293,183904197,8111318624,5.24
4663,6788230504,6788230505,0.26
3785,183897633,183835447,304.41
12335,8084247204,183902491,0.07
12136,8430447091,183835153,0.14
11656,183866369,183856499,21.22
8101,8428759445,6950993064,8.74
5698,183864425,183904039,0.49
9039,183817368,183956616,0.00
6832,183777309,8411584929,75.17
8067,183887087,1955234006,0.01
919,183957287,183835208,4.78
1410,183940608,183940611,63.49
10575,7244261456,6948053714,0.01
10460,183896576,7120717684,0.37
12599,7174868680,183950842,4.00
1425,183800571,183897817,0.01
3993,183941231,183967605,0.03
10659,6986989099,6986989089,8.42
2898,183962904,183776950,50.51
7127,183902203,183916113,0.12
6165,7189320829,7171044994,0.28
6322,7246649201,7171212873,3.70
1560,183934110,183934113,0.00
1116,6948153698,6948153697,0.01
12628,2722508968,183981546,0.03
7531,183920626,183931287,0.07
6846,8113919864,8113919856,0.00
1218,7643137933,7643137932,0.02
3164,183827757,2722360329,17.92
4175,8111495884,8111495885,0.00
1040,183905412,8113686907,0.22
1072,183938470,183959414,15.93
6775,7170981403,7121860903,0.25
4045,7539686868,183902294,0.38
3566,1871358734,1871358866,0.00
4348,2722529963,7672393564,0.00
1213,7170932396,183832409,0.01
12610,183947339,8428147596,0.88
8501,7632426837,6948053713,0.01
4656,183873501,183873493,7243.20
4638,183905935,183833991,336.51
3942,8113686904,183897587,0.01
6736,183920205,183920210,0.10
1374,7238979894,7238979890,7.10
1361,183953924,183953933,21.52
3483,183891557,7161912968,33.87
12690,8411584996,183780638,64.12
6023,520948269,183879627,3806.37
78,183835208,183835213,2.78
6777,7079520993,7079520986,0.02
433,8428456470,8428456464,0.22
1905,6785875160,6785875157,0.25
12177,183920215,183913108,0.03
6248,183913870,8411584967,0.00
2132,7081790962,7081790958,0.00
2328,7116149467,6785767582,0.25
5223,183835153,183835149,0.01
1084,183878216,183894607,0.04
7060,6970968559,183962661,0.08
4978,183776971,183776976,2.15
2116,183935689,183935698,0.04
1781,8428643304,8428643297,0.00
4546,7627848693,7627848687,0.01
10736,183871191,3548593090,0.01
10803,8459847526,183895004,109.59
11165,183820511,183820534,15.36
7231,4068942411,4068942425,36.84
10389,2260401542,2260401546,11.74
8125,2722307168,7127277902,32.50
3513,1864947693,1864947027,51.66
10931,8418028701,8418028712,99.62
2725,7245005502,7161912969,0.03
9448,183928229,183928220,0.13
9116,7566016436,7566016435,0.02
2003,183963637,183937384,80.15
8580,183962317,8428424029,569.78
5770,183913616,183896400,4.88
2437,183892708,7436492845,0.30
2607,7071526479,7071526480,0.08
4608,7361689592,8418028707,0.14
1975,7079930902,183896092,0.59
7477,6950796909,8429128434,3.47
9646,7168837296,7168837304,0.00
688,6950246415,6950246403,43.33
951,6957443500,6957414674,0.08
6683,6950234971,6950246393,0.79
375,183919630,183910420,8.28
243,183845094,183835513,12.55
4762,6948053715,6948053713,11.13
5958,7187285166,7187285159,0.15
12431,7694402506,6784789876,0.00
185,183835213,183945552,1.59
11316,6979705278,183873476,0.01
7820,183920154,183936471,0.01
13224,183897847,7153960500,0.78
4681,183882322,8400356779,0.03
11887,7087403360,7087403357,0.00
2983,183972009,183972005,0.26
1498,183969709,183979727,0.00
7353,183902924,183898623,0.00
1757,7510087053,7510087067,0.02
514,8084247202,8084247201,0.05
2395,183879331,183879727,2.56
756,7085786381,7085786377,0.01
6009,183893591,183863960,0.08
3324,7453103678,7453103671,0.00
4545,6785875151,6785875154,0.02
5837,183878227,8393901689,0.01
862,183866383,183856526,16.42
5206,183897795,183969708,21.59
1545,8114006499,6979767545,0.28
5404,183949405,183899364,0.02
8044,183969708,183897795,0.04
5065,183887185,183826447,0.20
9940,183883010,183880974,151.02
11423,183869831,183869817,0.00
8063,8110649091,183958560,12.00
924,183957287,183947335,0.48
9334,183934106,183924774,131.85
6371,183892710,183916993,0.14
9698,2260401536,2260401538,0.03
3440,183873517,183856077,166.55
7116,6501199114,6501199115,0.00
10357,2937774085,2937774084,0.01
12015,7769153893,7769151380,0.00
3621,6950246410,6950246403,0.01
8536,4562886618,4562886622,2.85
8296,183938664,183897795,16.91
5792,6788254727,183856059,0.03
7074,183897582,183897580,0.01
